Region,Country,Age,Arrivals,Year
South-East Asia,Brunai,Total,17433,2015
South-East Asia,Brunai,Under 25,3736,2015
South-East Asia,Brunai,25 - 34,4549,2015
South-East Asia,Brunai,35 - 44,4028,2015
South-East Asia,Brunai,45 - 54,2735,2015
South-East Asia,Brunai,55 - 64,1777,2015
South-East Asia,Brunai,65 and Over,608,2015
South-East Asia,Brunai,Total,17994,2016
South-East Asia,Brunai,Under 25,4526,2016
South-East Asia,Brunai,25 - 34,5082,2016
South-East Asia,Brunai,35 - 44,3289,2016
South-East Asia,Brunai,45 - 54,2679,2016
South-East Asia,Brunai,55 - 64,1683,2016
South-East Asia,Brunai,65 and Over,735,2016
South-East Asia,Brunai,Total,18249,2017
South-East Asia,Brunai,Under 25,4179,2017
South-East Asia,Brunai,25 - 34,5085,2017
South-East Asia,Brunai,35 - 44,3435,2017
South-East Asia,Brunai,45 - 54,2812,2017
South-East Asia,Brunai,55 - 64,1939,2017
South-East Asia,Brunai,65 and Over,799,2017
South-East Asia,Brunai,Total,18460,2018
South-East Asia,Brunai,Under 25,3719,2018
South-East Asia,Brunai,25 - 34,4922,2018
South-East Asia,Brunai,35 - 44,3541,2018
South-East Asia,Brunai,45 - 54,3305,2018
South-East Asia,Brunai,55 - 64,2094,2018
South-East Asia,Brunai,65 and Over,879,2018
South-East Asia,Brunai,Total,19858,2019
South-East Asia,Brunai,Under 25,4171,2019
South-East Asia,Brunai,25 - 34,5270,2019
South-East Asia,Brunai,35 - 44,4008,2019
South-East Asia,Brunai,45 - 54,3111,2019
South-East Asia,Brunai,55 - 64,2271,2019
South-East Asia,Brunai,65 and Over,1027,2019
South-East Asia,Brunai,Total,2444,2020
South-East Asia,Brunai,Under 25,373,2020
South-East Asia,Brunai,25 - 34,757,2020
South-East Asia,Brunai,35 - 44,459,2020
South-East Asia,Brunai,45 - 54,378,2020
South-East Asia,Brunai,55 - 64,351,2020
South-East Asia,Brunai,65 and Over,126,2020
South-East Asia,Cambodia,Total,544818,2015
South-East Asia,Cambodia,Under 25,105324,2015
South-East Asia,Cambodia,25 - 34,137266,2015
South-East Asia,Cambodia,35 - 44,121159,2015
South-East Asia,Cambodia,45 - 54,86113,2015
South-East Asia,Cambodia,55 - 64,62795,2015
South-East Asia,Cambodia,65 and Over,32161,2015
South-East Asia,Cambodia,Total,684836,2016
South-East Asia,Cambodia,Under 25,145984,2016
South-East Asia,Cambodia,25 - 34,134056,2016
South-East Asia,Cambodia,35 - 44,89952,2016
South-East Asia,Cambodia,45 - 54,107272,2016
South-East Asia,Cambodia,55 - 64,110742,2016
South-East Asia,Cambodia,65 and Over,96830,2016
South-East Asia,Cambodia,Total,851879,2017
South-East Asia,Cambodia,Under 25,144396,2017
South-East Asia,Cambodia,25 - 34,247505,2017
South-East Asia,Cambodia,35 - 44,162140,2017
South-East Asia,Cambodia,45 - 54,127164,2017
South-East Asia,Cambodia,55 - 64,85142,2017
South-East Asia,Cambodia,65 and Over,85532,2017
South-East Asia,Cambodia,Total,950980,2018
South-East Asia,Cambodia,Under 25,144081,2018
South-East Asia,Cambodia,25 - 34,273780,2018
South-East Asia,Cambodia,35 - 44,199314,2018
South-East Asia,Cambodia,45 - 54,132792,2018
South-East Asia,Cambodia,55 - 64,101831,2018
South-East Asia,Cambodia,65 and Over,99182,2018
South-East Asia,Cambodia,Total,925437,2019
South-East Asia,Cambodia,Under 25,171083,2019
South-East Asia,Cambodia,25 - 34,269295,2019
South-East Asia,Cambodia,35 - 44,197953,2019
South-East Asia,Cambodia,45 - 54,122671,2019
South-East Asia,Cambodia,55 - 64,93397,2019
South-East Asia,Cambodia,65 and Over,71038,2019
South-East Asia,Cambodia,Total,164270,2020
South-East Asia,Cambodia,Under 25,27379,2020
South-East Asia,Cambodia,25 - 34,56872,2020
South-East Asia,Cambodia,35 - 44,35932,2020
South-East Asia,Cambodia,45 - 54,19774,2020
South-East Asia,Cambodia,55 - 64,14114,2020
South-East Asia,Cambodia,65 and Over,10199,2020
South-East Asia,Indonesia,Total,470820,2015
South-East Asia,Indonesia,Under 25,69329,2015
South-East Asia,Indonesia,25 - 34,110286,2015
South-East Asia,Indonesia,35 - 44,118180,2015
South-East Asia,Indonesia,45 - 54,96334,2015
South-East Asia,Indonesia,55 - 64,52945,2015
South-East Asia,Indonesia,65 and Over,23746,2015
South-East Asia,Indonesia,Total,558499,2016
South-East Asia,Indonesia,Under 25,117563,2016
South-East Asia,Indonesia,25 - 34,144510,2016
South-East Asia,Indonesia,35 - 44,105548,2016
South-East Asia,Indonesia,45 - 54,98740,2016
South-East Asia,Indonesia,55 - 64,61394,2016
South-East Asia,Indonesia,65 and Over,30744,2016
South-East Asia,Indonesia,Total,594060,2017
South-East Asia,Indonesia,Under 25,117948,2017
South-East Asia,Indonesia,25 - 34,159642,2017
South-East Asia,Indonesia,35 - 44,122269,2017
South-East Asia,Indonesia,45 - 54,99670,2017
South-East Asia,Indonesia,55 - 64,60949,2017
South-East Asia,Indonesia,65 and Over,33582,2017
South-East Asia,Indonesia,Total,644479,2018
South-East Asia,Indonesia,Under 25,121938,2018
South-East Asia,Indonesia,25 - 34,170612,2018
South-East Asia,Indonesia,35 - 44,132406,2018
South-East Asia,Indonesia,45 - 54,111565,2018
South-East Asia,Indonesia,55 - 64,67163,2018
South-East Asia,Indonesia,65 and Over,40795,2018
South-East Asia,Indonesia,Total,706908,2019
South-East Asia,Indonesia,Under 25,138057,2019
South-East Asia,Indonesia,25 - 34,189289,2019
South-East Asia,Indonesia,35 - 44,144062,2019
South-East Asia,Indonesia,45 - 54,111423,2019
South-East Asia,Indonesia,55 - 64,78857,2019
South-East Asia,Indonesia,65 and Over,45220,2019
South-East Asia,Indonesia,Total,96993,2020
South-East Asia,Indonesia,Under 25,19476,2020
South-East Asia,Indonesia,25 - 34,29007,2020
South-East Asia,Indonesia,35 - 44,20595,2020
South-East Asia,Indonesia,45 - 54,15232,2020
South-East Asia,Indonesia,55 - 64,8812,2020
South-East Asia,Indonesia,65 and Over,3871,2020
South-East Asia,Laos,Total,1230521,2015
South-East Asia,Laos,Under 25,207544,2015
South-East Asia,Laos,25 - 34,282221,2015
South-East Asia,Laos,35 - 44,260033,2015
South-East Asia,Laos,45 - 54,240817,2015
South-East Asia,Laos,55 - 64,160317,2015
South-East Asia,Laos,65 and Over,79589,2015
South-East Asia,Laos,Total,1414916,2016
South-East Asia,Laos,Under 25,312928,2016
South-East Asia,Laos,25 - 34,212504,2016
South-East Asia,Laos,35 - 44,194670,2016
South-East Asia,Laos,45 - 54,284576,2016
South-East Asia,Laos,55 - 64,259718,2016
South-East Asia,Laos,65 and Over,150520,2016
South-East Asia,Laos,Total,1692866,2017
South-East Asia,Laos,Under 25,390129,2017
South-East Asia,Laos,25 - 34,460872,2017
South-East Asia,Laos,35 - 44,335099,2017
South-East Asia,Laos,45 - 54,259443,2017
South-East Asia,Laos,55 - 64,152666,2017
South-East Asia,Laos,65 and Over,94657,2017
South-East Asia,Laos,Total,1682304,2018
South-East Asia,Laos,Under 25,259332,2018
South-East Asia,Laos,25 - 34,480129,2018
South-East Asia,Laos,35 - 44,360023,2018
South-East Asia,Laos,45 - 54,286079,2018
South-East Asia,Laos,55 - 64,172223,2018
South-East Asia,Laos,65 and Over,124518,2018
South-East Asia,Laos,Total,1856762,2019
South-East Asia,Laos,Under 25,280246,2019
South-East Asia,Laos,25 - 34,539391,2019
South-East Asia,Laos,35 - 44,411800,2019
South-East Asia,Laos,45 - 54,296442,2019
South-East Asia,Laos,55 - 64,183774,2019
South-East Asia,Laos,65 and Over,145109,2019
South-East Asia,Laos,Total,382246,2020
South-East Asia,Laos,Under 25,58795,2020
South-East Asia,Laos,25 - 34,109855,2020
South-East Asia,Laos,35 - 44,93459,2020
South-East Asia,Laos,45 - 54,59233,2020
South-East Asia,Laos,55 - 64,39297,2020
South-East Asia,Laos,65 and Over,21607,2020
South-East Asia,Malaysia,Total,3407553,2015
South-East Asia,Malaysia,Under 25,307759,2015
South-East Asia,Malaysia,25 - 34,559479,2015
South-East Asia,Malaysia,35 - 44,730387,2015
South-East Asia,Malaysia,45 - 54,757491,2015
South-East Asia,Malaysia,55 - 64,628690,2015
South-East Asia,Malaysia,65 and Over,423747,2015
South-East Asia,Malaysia,Total,3506199,2016
South-East Asia,Malaysia,Under 25,285029,2016
South-East Asia,Malaysia,25 - 34,705094,2016
South-East Asia,Malaysia,35 - 44,472223,2016
South-East Asia,Malaysia,45 - 54,857826,2016
South-East Asia,Malaysia,55 - 64,761752,2016
South-East Asia,Malaysia,65 and Over,424275,2016
South-East Asia,Malaysia,Total,3493112,2017
South-East Asia,Malaysia,Under 25,388668,2017
South-East Asia,Malaysia,25 - 34,772111,2017
South-East Asia,Malaysia,35 - 44,513536,2017
South-East Asia,Malaysia,45 - 54,748078,2017
South-East Asia,Malaysia,55 - 64,502431,2017
South-East Asia,Malaysia,65 and Over,568288,2017
South-East Asia,Malaysia,Total,4042998,2018
South-East Asia,Malaysia,Under 25,329691,2018
South-East Asia,Malaysia,25 - 34,858375,2018
South-East Asia,Malaysia,35 - 44,540329,2018
South-East Asia,Malaysia,45 - 54,873996,2018
South-East Asia,Malaysia,55 - 64,627539,2018
South-East Asia,Malaysia,65 and Over,813068,2018
South-East Asia,Malaysia,Total,4274458,2019
South-East Asia,Malaysia,Under 25,422439,2019
South-East Asia,Malaysia,25 - 34,924106,2019
South-East Asia,Malaysia,35 - 44,578333,2019
South-East Asia,Malaysia,45 - 54,750076,2019
