Year,Arrivals,Sex,Country
2016,359432,Female,Australia
2016,53741,Male,NewZealand
2016,45661,Female,NewZealand
2016,3310,Male,Others in Oceania
2016,2809,Female,Others in Oceania
2016,14675,Male,Egypt
2016,10238,Female,Egypt
2016,86994,Male,Israel
2016,74260,Female,Israel
2016,42543,Male,Kuwait
2016,25625,Female,Kuwait
2016,22410,Male,SaudiArabia
2016,10628,Female,SaudiArabia
2016,102717,Male,UnitedArabEmirates
2016,84948,Female,UnitedArabEmirates
2016,203576,Male,Others in Middle East
2016,142844,Female,Others in Middle East
2016,42862,Male,RepublicofSouthAfrica
2016,33679,Female,RepublicofSouthAfrica
2016,43838,Male,Others in Africa
2016,52355,Female,Others in Africa
2017,8663,Male,Brunai
2017,9797,Female,Brunai
2017,434693,Male,Cambodia
2017,516287,Female,Cambodia
2017,270279,Male,Indonesia
2017,374200,Female,Indonesia
2017,808692,Male,Laos
2017,873612,Female,Laos
2017,1861556,Male,Malaysia
2017,2181442,Female,Malaysia
2017,163166,Male,Myanmar
2017,216714,Female,Myanmar
2017,155403,Male,Philippines
2017,252429,Female,Philippines
2017,585265,Male,Singapore
2017,582847,Female,Singapore
2017,438032,Male,Vietnam
2017,615691,Female,Vietnam
2017,4197122,Male,China
2017,6428045,Female,China
2017,456507,Male,HongKong
2017,591052,Female,HongKong
2017,971921,Male,Japan
2017,670791,Female,Japan
2017,825563,Male,Korea
2017,959584,Female,Korea
2017,285352,Male,Taiwan
2017,388820,Female,Taiwan
2017,43137,Male,Others in East
2017,58784,Female,Others in East
2017,63302,Male,Austria
2017,51466,Female,Austria
2017,67171,Male,Belgium
2017,49175,Female,Belgium
2017,93638,Male,Denmark
2017,76406,Female,Denmark
2017,73225,Male,Finland
2017,62159,Female,Finland
2017,392847,Male,France
2017,331503,Female,France
2017,489269,Male,Germany
2017,382916,Female,Germany
2017,31130,Male,Ireland
2017,27547,Female,Ireland
2017,151676,Male,Italy
2017,111839,Female,Italy
2017,124407,Male,Netherlands
2017,102211,Female,Netherlands
2017,76105,Male,Norway
2017,56915,Female,Norway
2017,616855,Male,Russian
2017,849602,Female,Russian
2017,90105,Male,Spain
2017,86492,Female,Spain
2017,169533,Male,Sweden
2017,134673,Female,Sweden
2017,130535,Male,Switzerland
2017,95450,Female,Switzerland
2017,532040,Male,UnitedKingdom
2017,422364,Female,UnitedKingdom
2017,230355,Male,EastEurope
2017,257314,Female,EastEurope
2017,97491,Male,Others in Europe
2017,75979,Female,Others in Europe
2017,19782,Male,Argentina
2017,23703,Female,Argentina
2017,27247,Male,Brazil
2017,29858,Female,Brazil
2017,132208,Male,Canada
2017,120555,Female,Canada
2017,581166,Male,USA
2017,515011,Female,USA
2017,38570,Male,Others in America
