Country,Frequency,Arrivals,Year
Malaysia,Re-visit,2069287,2016
Myanmar,Total,363871,2016
Myanmar,First visit,62542,2016
Myanmar,Re-visit,301329,2016
Philippines,Total,323860,2016
Philippines,First visit,107780,2016
Philippines,Re-visit,216080,2016
Singapore,Total,1163309,2016
Singapore,First visit,179410,2016
Singapore,Re-visit,983899,2016
Vietnam,Total,863807,2016
Vietnam,First visit,341267,2016
Vietnam,Re-visit,522540,2016
China,Total,8821148,2016
China,First visit,4884236,2016
China,Re-visit,3936912,2016
HongKong,Total,690465,2016
HongKong,First visit,157167,2016
HongKong,Re-visit,533298,2016
Japan,Total,1416903,2016
Japan,First visit,278925,2016
Japan,Re-visit,1137978,2016
Korea,Total,1449617,2016
Korea,First visit,635330,2016
Korea,Re-visit,814287,2016
Taiwan,Total,513528,2016
Taiwan,First visit,162474,2016
Taiwan,Re-visit,351054,2016
Others in East,Total,72401,2016
Others in East,First visit,14181,2016
Others in East,Re-visit,58220,2016
Austria,Total,97989,2016
Austria,First visit,31699,2016
Austria,Re-visit,66290,2016
Belgium,Total,112140,2016
Belgium,First visit,38452,2016
Belgium,Re-visit,73688,2016
Denmark,Total,163406,2016
Denmark,First visit,50954,2016
Denmark,Re-visit,112452,2016
Finland,Total,131207,2016
Finland,First visit,38329,2016
Finland,Re-visit,92878,2016
France,Total,697738,2016
France,First visit,263406,2016
France,Re-visit,434332,2016
Germany,Total,825496,2016
Germany,First visit,292895,2016
Germany,Re-visit,532601,2016
Ireland,Total,59557,2016
Ireland,First visit,20922,2016
Ireland,Re-visit,38635,2016
Italy,Total,248903,2016
Italy,First visit,100423,2016
Italy,Re-visit,148480,2016
Netherlands,Total,228443,2016
Netherlands,First visit,78653,2016
Netherlands,Re-visit,149790,2016
Norway,Total,134335,2016
Norway,First visit,32487,2016
Norway,Re-visit,101848,2016
Russian,Total,1085890,2016
Russian,First visit,388551,2016
Russian,Re-visit,697339,2016
Spain,Total,168264,2016
Spain,First visit,89529,2016
Spain,Re-visit,78735,2016
Sweden,Total,329070,2016
Sweden,First visit,92917,2016
Sweden,Re-visit,236153,2016
Switzerland,Total,226412,2016
