Country,Frequency,Arrivals,Year
Norway,First visit,8158,2020
Norway,Re-visit,30924,2020
Russian,Total,586381,2020
Russian,First visit,167933,2020
Russian,Re-visit,418448,2020
Spain,Total,26499,2020
Spain,First visit,10564,2020
Spain,Re-visit,15935,2020
Sweden,Total,108921,2020
Sweden,First visit,19717,2020
Sweden,Re-visit,89204,2020
Switzerland,Total,54006,2020
Switzerland,First visit,10925,2020
Switzerland,Re-visit,43081,2020
UnitedKingdom,Total,215861,2020
UnitedKingdom,First visit,55725,2020
UnitedKingdom,Re-visit,160136,2020
EastEurope,Total,211106,2020
EastEurope,First visit,86696,2020
EastEurope,Re-visit,124410,2020
Others in Europe,Total,47166,2020
Others in Europe,First visit,18864,2020
Others in Europe,Re-visit,28302,2020
Argentina,Total,12461,2020
Argentina,First visit,4604,2020
Argentina,Re-visit,7857,2020
Brazil,Total,18200,2020
Brazil,First visit,7205,2020
Brazil,Re-visit,10995,2020
Canada,Total,55984,2020
Canada,First visit,18064,2020
Canada,Re-visit,37920,2020
USA,Total,208608,2020
USA,First visit,69716,2020
USA,Re-visit,138892,2020
Others in America,Total,15997,2020
Others in America,First visit,6905,2020
Others in America,Re-visit,9092,2020
Bangladesh,Total,22913,2020
Bangladesh,First visit,5866,2020
Bangladesh,Re-visit,17047,2020
India,Total,265223,2020
India,First visit,104702,2020
India,Re-visit,160521,2020
Nepal,Total,10396,2020
Nepal,First visit,3621,2020
Nepal,Re-visit,6775,2020
Pakistan,Total,11519,2020
Pakistan,First visit,3044,2020
Pakistan,Re-visit,8475,2020
SriLanka,Total,8375,2020
SriLanka,First visit,1913,2020
SriLanka,Re-visit,6462,2020
Others in Asia,Total,8462,2020
Others in Asia,First visit,1345,2020
Others in Asia,Re-visit,7117,2020
Australia,Total,123743,2020
Australia,First visit,30931,2020
Australia,Re-visit,92812,2020
NewZealand,Total,13773,2020
NewZealand,First visit,3756,2020
NewZealand,Re-visit,10017,2020
Others in Oceania,Total,1458,2020
Others in Oceania,First visit,370,2020
Others in Oceania,Re-visit,1088,2020
Egypt,Total,3084,2020
Egypt,First visit,1222,2020
Egypt,Re-visit,1862,2020
Israel,Total,29568,2020
Israel,First visit,8104,2020
Israel,Re-visit,21464,2020
Kuwait,Total,11149,2020
Kuwait,First visit,2392,2020
Kuwait,Re-visit,8757,2020
SaudiArabia,Total,6372,2020
SaudiArabia,First visit,2383,2020
SaudiArabia,Re-visit,3989,2020
UnitedArabEmirates,Total,9550,2020
UnitedArabEmirates,First visit,1688,2020
UnitedArabEmirates,Re-visit,7862,2020
Others in Middle East,Total,25507,2020
Others in Middle East,First visit,6168,2020
Others in Middle East,Re-visit,19339,2020
SouthAfrica,Total,9692,2020
SouthAfrica,First visit,3472,2020
SouthAfrica,Re-visit,6220,2020
Others in Africa,Total,15371,2020
Others in Africa,First visit,4034,2020
Others in Africa,Re-visit,11337,2020
