Country of Residence,No. of Arrivals,Length of Stay(Days),Per Capita Spending(Baht/Day),Per Capita Spending($US/Day),Tourism Receipts(Mil. Baht),Tourism Receipts(Mil. $US),Region
Brunei,"17,994",7.53,"6,381.65",180.78,864.68,24.5,Asean
Cambodia,"684,836",6.42,"4,911.21",139.13,"21,592.78",611.69,Asean
Indonesia,"558,499",5.77,"5,245.19",148.59,"16,902.79",478.83,Asean
Laos,"1,414,916",5.69,"4,661.45",132.05,"37,528.71","1,063.14",Asean
Malaysia,"3,506,199",4.74,"5,374.08",152.24,"89,313.76","2,530.13",Asean
Myanmar,"363,871",7.74,"5,338.89",151.24,"15,036.27",425.96,Asean
Philippines,"323,860",7.35,"5,013.15",142.02,"11,933.15",338.05,Asean
Singapore,"1,163,309",5.47,"6,293.28",178.28,"40,046.12","1,134.45",Asean
Vietnam,"863,807",5.98,"5,191.69",147.07,"26,818.00",759.72,Asean
China,"8,779,196",8.24,"6,306.05",178.64,"456,183.67","12,923.05",East Asia
Hong Kong,"732,417",6.31,"6,426.70",182.06,"29,701.31",841.4,East Asia
Japan,"1,416,903",8.02,"5,352.51",151.63,"60,823.67","1,723.05",East Asia
Korea,"1,449,617",7.73,"5,654.87",160.19,"63,365.85","1,795.07",East Asia
Taiwan,"513,528",7.55,"5,489.20",155.5,"21,282.38",602.9,East Asia
Others in East Asia,"72,401",7.19,"6,077.98",172.18,"3,163.98",89.63,East Asia
Austria,"97,989",16.05,"4,671.97",132.35,"7,347.70",208.15,Europe
Belgium,"112,140",16.67,"4,032.97",114.25,"7,539.12",213.57,Europe
Denmark,"163,406",16.35,"5,322.08",150.77,"14,218.98",402.8,Europe
Finland,"131,207",16.13,"5,000.65",141.66,"10,583.22",299.81,Europe
France,"697,738",17.57,"3,867.55",109.56,"47,413.10","1,343.15",Europe
Germany,"825,496",17.37,"3,723.52",105.48,"53,390.93","1,512.49",Europe
Italy,"248,903",15.99,"4,016.81",113.79,"15,986.74",452.88,Europe
Netherlands,"228,443",17.21,"4,257.90",120.62,"16,739.93",474.22,Europe
Norway,"134,335",15.66,"5,170.28",146.47,"10,876.65",308.12,Europe
Russia,"1,085,890",16.91,"4,445.79",125.94,"81,635.39","2,312.62",Europe
Spain,"168,264",15.57,"3,961.09",112.21,"10,377.58",293.98,Europe
Sweden,"329,070",18.9,"4,279.84",121.24,"26,618.15",754.06,Europe
Switzerland,"226,412",16.74,"4,479.33",126.89,"16,977.24",480.94,Europe
United Kingdom,"961,471",17.91,"4,218.29",119.5,"72,638.62","2,057.75",Europe
East Europe,"379,153",14.73,"4,505.14",127.62,"25,160.87",712.77,Europe
Others in Europe,"218,481",15.27,"4,632.48",131.23,"15,454.90",437.82,Europe
Argentina,"46,390",15.91,"4,616.97",130.79,"3,407.62",96.53,The Americas
Brazil,"63,139",14.63,"5,268.65",149.25,"4,866.78",137.87,The Americas
Canada,"222,358",18.43,"4,577.26",129.67,"18,757.86",531.38,The Americas
USA,"938,862",13.99,"5,112.28",144.82,"67,148.06","1,902.21",The Americas
Others  in America,"70,724",14.27,"4,933.84",139.77,"4,979.38",141.06,The Americas
Bangladesh,"103,616",7.84,"5,802.10",164.37,"4,713.33",133.52,South Asia
India,"1,076,970",7.56,"5,641.69",159.82,"45,934.07","1,301.25",South Asia
Nepal,"43,170",9.58,"5,106.67",144.66,"2,111.96",59.83,South Asia
Pakistan,"71,720",9.47,"5,406.33",153.15,"3,671.92",104.02,South Asia
Sri Lanka,"67,876",7.14,"5,929.53",167.98,"2,873.65",81.41,South Asia
Others in South Asia,"42,282",8.09,"5,789.58",164.01,"1,980.39",56.1,South Asia
Australia,"813,017",13.79,"5,668.54",160.58,"63,553.03","1,800.37",Oceania
New Zealand,"99,402",13.71,"5,050.16",143.06,"6,882.36",194.97,Oceania
Others  in Ociania,"6,119",13.04,"5,034.60",142.62,401.72,11.38,Oceania
Egypt,"24,913",10.75,"6,381.43",180.78,"1,709.04",48.41,Middle East
Israel,"161,254",17.39,"4,987.34",141.28,"13,985.54",396.19,Middle East
Kuwait,"68,168",12.69,"6,890.29",195.19,"5,960.45",168.85,Middle East
Saudi Arabia,"33,038",11.51,"7,211.60",204.29,"2,742.34",77.69,Middle East
U.A.E.,"187,665",9.91,"7,205.55",204.12,"13,400.59",379.62,Middle East
Others in Middle East,"346,420",11.59,"6,231.85",176.54,"25,020.95",708.81,Middle East
South  Africa,"76,541",13.77,"5,203.01",147.39,"5,483.81",155.35,Africa
Others in Africa,"96,193",11.07,"6,006.87",170.17,"6,396.46",181.2,Africa
