Country of Residence,No. of Arrivals,Length of Stay(Days),Per Capita Spending(Baht/Day),Per Capita Spending($US/Day),Tourism Receipts(Mil. Baht),Tourism Receipts(Mil. $US),Region
Brunei,"19,858",7.06,"6,741.42",217.11,945.13,30.44,Asean
Cambodia,"925,437",7.39,"5,743.24",184.97,"39,277.88","1,264.99",Asean
Indonesia,"706,908",5.68,"4,566.01",147.05,"18,333.62",590.45,Asean
Laos,"1,856,762",5.68,"5,502.86",177.23,"58,035.54","1,869.10",Asean
Malaysia,"4,274,458",4.81,"5,226.50",168.33,"107,457.97","3,460.80",Asean
Myanmar,"389,301",6.73,"5,765.97",185.7,"15,106.83",486.53,Asean
Philippines,"473,565",8.74,"4,788.66",154.22,"19,820.08",638.33,Asean
Singapore,"1,150,024",6.14,"6,185.74",199.22,"43,678.41","1,406.71",Asean
Vietnam,"1,080,609",7.59,"4,842.23",155.95,"39,715.18","1,279.07",Asean
China,"11,138,658",7.8,"6,118.41",197.05,"531,576.65","17,120.02",East Asia
Hong Kong,"1,090,121",6.1,"6,462.46",208.13,"42,973.72","1,384.02",East Asia
Japan,"1,787,185",9.79,"5,358.70",172.58,"93,758.84","3,019.61",East Asia
Korea,"1,880,465",7.2,"5,571.59",179.44,"75,435.78","2,429.49",East Asia
Taiwan,"781,674",8.24,"5,206.58",167.68,"33,535.47","1,080.05",East Asia
Others in East Asia,"114,938",7.23,"6,705.64",215.96,"5,572.39",179.47,East Asia
Austria,"110,690",16.55,"4,297.82",138.42,"7,873.28",253.57,Europe
Belgium,"114,016",16.8,"3,817.63",122.95,"7,312.50",235.51,Europe
Denmark,"159,526",17.04,"5,070.83",163.31,"13,784.14",443.93,Europe
Finland,"125,490",16.99,"4,623.84",148.92,"9,858.37",317.5,Europe
France,"713,405",17.26,"3,478.11",112.02,"42,827.24","1,379.30",Europe
Germany,"836,926",17.37,"3,588.64",115.58,"52,169.50","1,680.18",Europe
Italy,"250,870",15.09,"3,903.37",125.71,"14,776.71",475.9,Europe
Netherlands,"230,006",17.42,"4,066.18",130.96,"16,291.98",524.7,Europe
Norway,"130,509",17.4,"5,271.56",169.78,"11,970.93",385.54,Europe
Russia,"1,481,837",16.94,"4,099.03",132.01,"102,895.03","3,313.85",Europe
Spain,"186,969",14.89,"4,016.39",129.35,"11,181.50",360.11,Europe
Sweden,"279,451",19.15,"4,442.05",143.06,"23,771.56",765.59,Europe
Switzerland,"206,087",17.23,"4,471.55",144.01,"15,877.93",511.37,Europe
United Kingdom,"946,774",17.83,"4,284.04",137.97,"72,318.73","2,329.11",Europe
East Europe,"532,911",14.09,"4,262.82",137.29,"32,008.29","1,030.86",Europe
Others in Europe,"225,753",14.03,"4,365.25",140.59,"13,826.12",445.29,Europe
Argentina,"28,183",14.07,"4,537.29",146.13,"1,799.19",57.94,The Americas
Brazil,"58,970",12.49,"4,995.63",160.89,"3,679.45",118.5,The Americas
Canada,"252,574",17.02,"4,102.75",132.13,"17,636.96",568.02,The Americas
USA,"1,136,210",14.19,"4,764.63",153.45,"76,819.24","2,474.05",The Americas
Others  in America,"83,863",12.03,"5,107.82",164.5,"5,153.15",165.96,The Americas
Bangladesh,"139,622",8.32,"5,793.54",186.59,"6,730.08",216.75,South Asia
India,"1,961,069",7.43,"5,493.20",176.91,"80,039.88","2,577.77",South Asia
Nepal,"60,428",9.52,"5,161.34",166.23,"2,969.18",95.63,South Asia
Pakistan,"71,917",10.71,"5,736.11",184.74,"4,418.12",142.29,South Asia
Sri Lanka,"70,247",7.16,"5,594.88",180.19,"2,814.05",90.63,South Asia
Others in South Asia,"53,694",9.65,"6,169.76",198.7,"3,196.85",102.96,South Asia
Australia,"771,798",13.29,"5,401.34",173.96,"55,402.66","1,784.30",Oceania
New Zealand,"93,740",12.58,"5,067.75",163.21,"5,976.15",192.47,Oceania
Others  in Ociania,"8,616",10.57,"5,708.18",183.84,519.85,16.74,Oceania
Egypt,"19,010",11.31,"6,893.43",222.01,"1,482.11",47.73,Middle East
Israel,"194,081",15.96,"5,194.67",167.3,"16,090.66",518.22,Middle East
Kuwait,"84,504",13.05,"6,960.06",224.16,"7,675.40",247.19,Middle East
Saudi Arabia,"36,783",12.83,"6,823.42",219.76,"3,220.15",103.71,Middle East
U.A.E.,"145,530",11.14,"6,832.67",220.05,"11,077.15",356.75,Middle East
Others in Middle East,"247,410",11.62,"6,203.94",199.8,"17,835.72",574.42,Middle East
South  Africa,"89,750",13.01,"4,907.78",158.06,"5,730.55",184.56,Africa
Others in Africa,"107,069",11.56,"6,119.41",197.08,"7,574.10",243.93,Africa
