Country of Residence,No. of Arrivals,Length of Stay(Days),Per Capita Spending(Baht/Day),Per Capita Spending($US/Day),Tourism Receipts(Mil. Baht),Tourism Receipts(Mil. $US),Region
Brunei,48,54.61,"1,933.04",60.44,10.45,0.33,Asean
Cambodia,"5,535",44.61,"2,618.90",81.89,929.78,29.07,Asean
Indonesia,"3,702",73.79,"2,341.25",73.21,904.26,28.28,Asean
Laos,"1,016",42.65,"1,774.24",55.48,205.37,6.42,Asean
Malaysia,"6,988",44.74,"2,027.76",63.41,976.93,30.55,Asean
Myanmar,"9,110",64.46,"2,067.25",64.64,"1,732.03",54.16,Asean
Philippines,"2,859",32.24,"1,559.65",48.77,"1,813.04",56.69,Asean
Singapore,"7,268",43.82,"2,099.89",65.66,738.3,23.09,Asean
Vietnam,"2,123",42.66,"1,615.04",50.5,571.37,17.87,Asean
China,"26,558",47.94,"2,270.17",70.99,"9,162.82",286.51,East Asia
Hong Kong,"2,365",58.09,"1,960.29",61.3,520.13,16.26,East Asia
Japan,"24,382",70.3,"1,961.01",61.32,"8,880.51",277.68,East Asia
Korea,"14,800",48.28,"2,208.45",69.06,"3,635.69",113.68,East Asia
Taiwan,"3,819",52.52,"2,156.16",67.42,"1,018.78",31.86,East Asia
Others in East Asia,"2,628",28.13,"2,380.01",74.42,214.72,6.71,East Asia
Austria,"6,307",37.5,"2,780.08",86.93,934.15,29.21,Europe
Belgium,"6,217",40.74,"2,660.07",83.18,979.78,30.64,Europe
Denmark,"9,279",36.81,"2,630.16",82.24,"1,381.65",43.2,Europe
Finland,"6,571",39.29,"2,039.72",63.78,901.05,28.17,Europe
France,"27,135",37.69,"2,159.11",67.51,"5,897.02",184.39,Europe
Germany,"50,589",38.13,"2,532.54",79.19,"5,849.02",182.89,Europe
Italy,"6,818",39.87,"2,205.74",68.97,"1,407.87",44.02,Europe
Netherlands,"9,924",40.74,"2,383.13",74.52,"1,951.10",61.01,Europe
Norway,"6,565",39.46,"2,330.94",72.89,"1,046.06",32.71,Europe
Russia,"31,565",31.84,"2,636.51",82.44,"5,369.33",167.89,Europe
Spain,"4,065",39.67,"2,260.70",70.69,613.39,19.18,Europe
Sweden,"18,574",36.49,"2,138.69",66.87,"2,039.12",63.76,Europe
Switzerland,"13,539",41.1,"2,082.64",65.12,"1,839.04",57.5,Europe
United Kingdom,"42,853",38.68,"2,333.28",72.96,"8,602.55",268.99,Europe
East Europe,"28,409",37.35,"2,493.14",77.96,"3,321.01",103.84,Europe
Others in Europe,"9,026",41.15,"2,818.60",88.13,"1,438.06",44.97,Europe
Argentina,344,57.2,"2,619.73",81.92,59.79,1.87,The Americas
Brazil,"1,671",47.88,"3,228.23",100.94,302.96,9.47,The Americas
Canada,"7,238",50.8,"2,359.40",73.78,"1,453.75",45.46,The Americas
USA,"43,444",52.43,"2,665.39",83.34,"8,569.76",267.97,The Americas
Others  in America,"1,483",49.19,"2,961.17",92.59,362,11.32,The Americas
Bangladesh,"2,202",33.1,"4,737.64",148.14,558.38,17.46,South Asia
India,"10,864",45.3,"1,913.91",59.85,"2,855.44",89.29,South Asia
Nepal,740,71.02,"2,080.53",65.06,213.06,6.66,South Asia
Pakistan,"1,715",64.2,"1,972.93",61.69,367.07,11.48,South Asia
Sri Lanka,825,48.57,"1,909.33",59.7,142.81,4.47,South Asia
Others in South Asia,"2,078",48.8,"2,763.77",86.42,423.75,13.25,South Asia
Australia,"10,920",43.7,"2,417.92",75.61,"2,218.92",69.38,Oceania
New Zealand,"1,160",47.06,"2,342.73",73.25,353.32,11.05,Oceania
Others  in Ociania,353,47.41,"2,375.72",74.29,55.53,1.74,Oceania
Egypt,595,42.74,"1,617.05",50.56,85.9,2.69,Middle East
Israel,"14,549",27.23,"3,140.38",98.2,"1,493.09",46.69,Middle East
Kuwait,"3,757",30.4,"2,738.96",85.64,591.94,18.51,Middle East
Saudi Arabia,569,31.8,"2,257.41",70.59,70.14,2.19,Middle East
U.A.E.,"4,188",21.9,"3,066.98",95.9,370.16,11.57,Middle East
Others in Middle East,"7,666",33.83,"4,134.12",129.27,"1,654.01",51.72,Middle East
South  Africa,"1,164",42.1,"2,014.01",62.98,312.33,9.77,Africa
Others in Africa,"2,605",54.26,"2,082.56",65.12,687.86,21.51,Africa
