0,Frequency of visit ,No of Arrival by Frequency of purpose,Year,,,
    Egypt,First visit,"10,592","2,015",,,
    Egypt,Re-visit,"12,259","2,015",,,
    Israel,Total,"138,499","2,015",,,
    Israel,First visit,"52,968","2,015",,,
    Israel,Re-visit,"85,531","2,015",,,
    Kuwait,Total,"72,830","2,015",,,
    Kuwait,First visit,"27,320","2,015",,,
    Kuwait,Re-visit,"45,510","2,015",,,
    Saudi Arabia,Total,"25,153","2,015",,,
    Saudi Arabia,First visit,"11,819","2,015",,,
    Saudi Arabia,Re-visit,"13,334","2,015",,,
    United Arab Emirates,Total,"171,516","2,015",,,
    United Arab Emirates,First visit,"58,216","2,015",,,
    United Arab Emirates,Re-visit,"113,300","2,015",,,
    Others in Middle East,Total,"289,942","2,015",,,
    Others in Middle East,First visit,"113,357","2,015",,,
    Others in Middle East,Re-visit,"176,585","2,015",,,
    South Africa,Total,"74,397","2,015",,,
    South Africa,First visit,"32,373","2,015",,,
    South Africa,Re-visit,"42,024","2,015",,,
    Others in Africa,Total,"90,277","2,015",,,
    Others in Africa,First visit,"34,531","2,015",,,
    Others in Africa,Re-visit,"55,746","2,015",,,
        Brunai,Total,"17,994","2,016",,,
        Brunai,First visit,"4,266","2,016",,,
        Brunai,Re-visit,"13,728","2,016",,,
        Cambodia,Total,"684,836","2,016",,,
        Cambodia,First visit,"227,053","2,016",,,
        Cambodia,Re-visit,"457,783","2,016",,,
        Indonesia,Total,"558,499","2,016",,,
        Indonesia,First visit,"224,989","2,016",,,
        Indonesia,Re-visit,"333,510","2,016",,,
        Laos,Total,"1,414,916","2,016",,,
        Laos,First visit,"310,332","2,016",,,
        Laos,Re-visit,"1,104,584","2,016",,,
        Malaysia,Total,"3,506,199","2,016",,,
        Malaysia,First visit,"1,436,912","2,016",,,
        Malaysia,Re-visit,"2,069,287","2,016",,,
        Myanmar,Total,"363,871","2,016",,,
        Myanmar,First visit,"62,542","2,016",,,
        Myanmar,Re-visit,"301,329","2,016",,,
        Philippines,Total,"323,860","2,016",,,
        Philippines,First visit,"107,780","2,016",,,
        Philippines,Re-visit,"216,080","2,016",,,
        Singapore,Total,"1,163,309","2,016",,,
        Singapore,First visit,"179,410","2,016",,,
        Singapore,Re-visit,"983,899","2,016",,,
        Vietnam,Total,"863,807","2,016",,,
        Vietnam,First visit,"341,267","2,016",,,
        Vietnam,Re-visit,"522,540","2,016",,,
    China,Total,"8,821,148","2,016",,,
    China,First visit,"4,884,236","2,016",,,
    China,Re-visit,"3,936,912","2,016",,,
    Hong Kong,Total,"690,465","2,016",,,
    Hong Kong,First visit,"157,167","2,016",,,
    Hong Kong,Re-visit,"533,298","2,016",,,
    Japan,Total,"1,416,903","2,016",,,
    Japan,First visit,"278,925","2,016",,,
    Japan,Re-visit,"1,137,978","2,016",,,
    Korea,Total,"1,449,617","2,016",,,
    Korea,First visit,"635,330","2,016",,,
    Korea,Re-visit,"814,287","2,016",,,
    Taiwan,Total,"513,528","2,016",,,
    Taiwan,First visit,"162,474","2,016",,,
    Taiwan,Re-visit,"351,054","2,016",,,
    Others in East,Total,"72,401","2,016",,,
    Others in East,First visit,"14,181","2,016",,,
    Others in East,Re-visit,"58,220","2,016",,,
    Austria,Total,"97,989","2,016",,,
    Austria,First visit,"31,699","2,016",,,
    Austria,Re-visit,"66,290","2,016",,,
    Belgium,Total,"112,140","2,016",,,
    Belgium,First visit,"38,452","2,016",,,
