Year,No of arrival by Sex,Sex,Country of Residence,,,,
"2,020","4,908",Male,    Others in Asia,,,,
"2,020","3,554",Female,    Others in Asia,,,,
"2,020","72,807",Male,    Australia,,,,
"2,020","50,936",Female,    Australia,,,,
"2,020","7,876",Male,    New Zealand,,,,
"2,020","5,897",Female,    New Zealand,,,,
"2,020",859,Male,Others in Oceania,,,,
"2,020",599,Female,Others in Oceania,,,,
"2,020","1,788",Male,    Egypt,,,,
"2,020","1,296",Female,    Egypt,,,,
"2,020","16,712",Male,    Israel,,,,
"2,020","12,856",Female,    Israel,,,,
"2,020","6,965",Male,    Kuwait,,,,
"2,020","4,184",Female,    Kuwait,,,,
"2,020","4,377",Male,    Saudi Arabia,,,,
"2,020","1,995",Female,    Saudi Arabia,,,,
"2,020","5,841",Male,    United Arab Emirates,,,,
"2,020","3,709",Female,    United Arab Emirates,,,,
"2,020","17,122",Male,Others in Middle East,,,,
"2,020","8,385",Female,Others in Middle East,,,,
"2,020","5,084",Male,    Republic of South Africa,,,,
"2,020","4,608",Female,    Republic of South Africa,,,,
"2,020","8,306",Male,    Others in Africa,,,,
"2,020","7,065",Female,    Others in Africa,,,,
