Column1,Region,Country of Residence,Age Group,No of Arrivals,Year,,,,Age group,No. of Arrival
713,Western Europe,Belgium,55 - 64,"5,015",2020,,,,,
714,Western Europe,Belgium,65 and Over,"3,654",2020,,,,,
715,Western Europe,Denmark,Total,"159,420",2015,,,,,
716,Western Europe,Denmark,Under 25,"31,712",2015,,,,,
717,Western Europe,Denmark,25 - 34,"27,584",2015,,,,,
718,Western Europe,Denmark,35 - 44,"28,220",2015,,,,,
719,Western Europe,Denmark,45 - 54,"31,639",2015,,,,,
720,Western Europe,Denmark,55 - 64,"25,200",2015,,,,,
721,Western Europe,Denmark,65 and Over,"15,065",2015,,,,,
722,Western Europe,Denmark,Total,"163,406",2016,,,,,
723,Western Europe,Denmark,Under 25,"44,862",2016,,,,,
724,Western Europe,Denmark,25 - 34,"36,433",2016,,,,,
725,Western Europe,Denmark,35 - 44,"23,149",2016,,,,,
726,Western Europe,Denmark,45 - 54,"23,445",2016,,,,,
727,Western Europe,Denmark,55 - 64,"18,199",2016,,,,,
728,Western Europe,Denmark,65 and Over,"17,318",2016,,,,,
729,Western Europe,Denmark,Total,"157,923",2017,,,,,
730,Western Europe,Denmark,Under 25,"44,015",2017,,,,,
731,Western Europe,Denmark,25 - 34,"29,188",2017,,,,,
732,Western Europe,Denmark,35 - 44,"21,988",2017,,,,,
733,Western Europe,Denmark,45 - 54,"24,662",2017,,,,,
734,Western Europe,Denmark,55 - 64,"19,963",2017,,,,,
735,Western Europe,Denmark,65 and Over,"18,107",2017,,,,,
736,Western Europe,Denmark,Total,"170,044",2018,,,,,
737,Western Europe,Denmark,Under 25,"47,295",2018,,,,,
738,Western Europe,Denmark,25 - 34,"24,469",2018,,,,,
739,Western Europe,Denmark,35 - 44,"21,501",2018,,,,,
740,Western Europe,Denmark,45 - 54,"29,145",2018,,,,,
741,Western Europe,Denmark,55 - 64,"25,478",2018,,,,,
742,Western Europe,Denmark,65 and Over,"22,156",2018,,,,,
743,Western Europe,Denmark,Total,"159,526",2019,,,,,
744,Western Europe,Denmark,Under 25,"44,115",2019,,,,,
745,Western Europe,Denmark,25 - 34,"23,342",2019,,,,,
746,Western Europe,Denmark,35 - 44,"19,214",2019,,,,,
747,Western Europe,Denmark,45 - 54,"26,652",2019,,,,,
748,Western Europe,Denmark,55 - 64,"24,454",2019,,,,,
749,Western Europe,Denmark,65 and Over,"21,749",2019,,,,,
750,Western Europe,Denmark,Total,"62,962",2020,,,,,
751,Western Europe,Denmark,Under 25,"16,542",2020,,,,,
752,Western Europe,Denmark,25 - 34,"8,545",2020,,,,,
753,Western Europe,Denmark,35 - 44,"7,326",2020,,,,,
754,Western Europe,Denmark,45 - 54,"8,948",2020,,,,,
755,Western Europe,Denmark,55 - 64,"11,122",2020,,,,,
756,Western Europe,Denmark,65 and Over,"10,479",2020,,,,,
757,Nothern Europe,Finland,Total,"135,107",2015,,,,,
758,Nothern Europe,Finland,Under 25,"21,447",2015,,,,,
759,Nothern Europe,Finland,25 - 34,"32,649",2015,,,,,
760,Nothern Europe,Finland,35 - 44,"26,869",2015,,,,,
761,Nothern Europe,Finland,45 - 54,"26,283",2015,,,,,
762,Nothern Europe,Finland,55 - 64,"18,387",2015,,,,,
763,Nothern Europe,Finland,65 and Over,"9,472",2015,,,,,
764,Nothern Europe,Finland,Total,"131,207",2016,,,,,
765,Nothern Europe,Finland,Under 25,"25,095",2016,,,,,
766,Nothern Europe,Finland,25 - 34,"43,471",2016,,,,,
767,Nothern Europe,Finland,35 - 44,"21,858",2016,,,,,
768,Nothern Europe,Finland,45 - 54,"18,659",2016,,,,,
769,Nothern Europe,Finland,55 - 64,"13,255",2016,,,,,
770,Nothern Europe,Finland,65 and Over,"8,869",2016,,,,,
771,Nothern Europe,Finland,Total,"138,926",2017,,,,,
772,Nothern Europe,Finland,Under 25,"29,158",2017,,,,,
773,Nothern Europe,Finland,25 - 34,"31,385",2017,,,,,
774,Nothern Europe,Finland,35 - 44,"25,228",2017,,,,,
775,Nothern Europe,Finland,45 - 54,"23,087",2017,,,,,
776,Nothern Europe,Finland,55 - 64,"18,204",2017,,,,,
777,Nothern Europe,Finland,65 and Over,"11,864",2017,,,,,
778,Nothern Europe,Finland,Total,"135,384",2018,,,,,
779,Nothern Europe,Finland,Under 25,"28,255",2018,,,,,
780,Nothern Europe,Finland,25 - 34,"30,627",2018,,,,,
781,Nothern Europe,Finland,35 - 44,"23,356",2018,,,,,
782,Nothern Europe,Finland,45 - 54,"22,932",2018,,,,,
783,Nothern Europe,Finland,55 - 64,"18,470",2018,,,,,
784,Nothern Europe,Finland,65 and Over,"11,744",2018,,,,,
785,Nothern Europe,Finland,Total,"125,490",2019,,,,,
786,Nothern Europe,Finland,Under 25,"25,838",2019,,,,,
787,Nothern Europe,Finland,25 - 34,"26,476",2019,,,,,
788,Nothern Europe,Finland,35 - 44,"22,314",2019,,,,,
789,Nothern Europe,Finland,45 - 54,"20,900",2019,,,,,
790,Nothern Europe,Finland,55 - 64,"17,757",2019,,,,,
791,Nothern Europe,Finland,65 and Over,"12,205",2019,,,,,
792,Nothern Europe,Finland,Total,"57,927",2020,,,,,
793,Nothern Europe,Finland,Under 25,"11,012",2020,,,,,
794,Nothern Europe,Finland,25 - 34,"11,481",2020,,,,,
795,Nothern Europe,Finland,35 - 44,"9,594",2020,,,,,
796,Nothern Europe,Finland,45 - 54,"9,788",2020,,,,,
797,Nothern Europe,Finland,55 - 64,"9,723",2020,,,,,
798,Nothern Europe,Finland,65 and Over,"6,329",2020,,,,,
799,Western Europe,France,Total,"648,382",2015,,,,,
800,Western Europe,France,Under 25,"97,328",2015,,,,,
801,Western Europe,France,25 - 34,"198,029",2015,,,,,
802,Western Europe,France,35 - 44,"128,412",2015,,,,,
803,Western Europe,France,45 - 54,"107,730",2015,,,,,
804,Western Europe,France,55 - 64,"75,367",2015,,,,,
805,Western Europe,France,65 and Over,"41,516",2015,,,,,
806,Western Europe,France,Total,"697,738",2016,,,,,
807,Western Europe,France,Under 25,"134,875",2016,,,,,
808,Western Europe,France,25 - 34,"206,420",2016,,,,,
809,Western Europe,France,35 - 44,"106,726",2016,,,,,
810,Western Europe,France,45 - 54,"104,279",2016,,,,,
811,Western Europe,France,55 - 64,"89,033",2016,,,,,
812,Western Europe,France,65 and Over,"56,405",2016,,,,,
813,Western Europe,France,Total,"693,426",2017,,,,,
814,Western Europe,France,Under 25,"132,902",2017,,,,,
815,Western Europe,France,25 - 34,"169,077",2017,,,,,
816,Western Europe,France,35 - 44,"109,040",2017,,,,,
817,Western Europe,France,45 - 54,"116,532",2017,,,,,
818,Western Europe,France,55 - 64,"98,802",2017,,,,,
819,Western Europe,France,65 and Over,"67,073",2017,,,,,
820,Western Europe,France,Total,"724,350",2018,,,,,
821,Western Europe,France,Under 25,"129,147",2018,,,,,
822,Western Europe,France,25 - 34,"174,903",2018,,,,,
823,Western Europe,France,35 - 44,"116,135",2018,,,,,
824,Western Europe,France,45 - 54,"123,860",2018,,,,,
825,Western Europe,France,55 - 64,"109,123",2018,,,,,
826,Western Europe,France,65 and Over,"71,182",2018,,,,,
827,Western Europe,France,Total,"713,405",2019,,,,,
828,Western Europe,France,Under 25,"141,291",2019,,,,,
829,Western Europe,France,25 - 34,"166,971",2019,,,,,
830,Western Europe,France,35 - 44,"115,016",2019,,,,,
831,Western Europe,France,45 - 54,"120,481",2019,,,,,
832,Western Europe,France,55 - 64,"101,220",2019,,,,,
833,Western Europe,France,65 and Over,"68,426",2019,,,,,
834,Western Europe,France,Total,"231,614",2020,,,,,
835,Western Europe,France,Under 25,"42,896",2020,,,,,
836,Western Europe,France,25 - 34,"48,552",2020,,,,,
837,Western Europe,France,35 - 44,"37,905",2020,,,,,
838,Western Europe,France,45 - 54,"39,504",2020,,,,,
839,Western Europe,France,55 - 64,"34,133",2020,,,,,
840,Western Europe,France,65 and Over,"28,624",2020,,,,,
841,Europe,Ireland,Total, - ,2015,,,,,
842,Europe,Ireland,Under 25, - ,2015,,,,,
843,Europe,Ireland,25 - 34, - ,2015,,,,,
844,Europe,Ireland,35 - 44, - ,2015,,,,,
845,Europe,Ireland,45 - 54, - ,2015,,,,,
846,Europe,Ireland,55 - 64, - ,2015,,,,,
847,Europe,Ireland,65 and Over, - ,2015,,,,,
848,Europe,Ireland,Total,"59,557",2016,,,,,
849,Europe,Ireland,Under 25,"15,786",2016,,,,,
850,Europe,Ireland,25 - 34,"22,524",2016,,,,,
851,Europe,Ireland,35 - 44,"9,015",2016,,,,,
852,Europe,Ireland,45 - 54,"5,284",2016,,,,,
853,Europe,Ireland,55 - 64,"4,618",2016,,,,,
854,Europe,Ireland,65 and Over,"2,330",2016,,,,,
855,Europe,Ireland,Total,"59,500",2017,,,,,
856,Europe,Ireland,Under 25,"13,067",2017,,,,,
857,Europe,Ireland,25 - 34,"22,620",2017,,,,,
858,Europe,Ireland,35 - 44,"9,548",2017,,,,,
859,Europe,Ireland,45 - 54,"6,297",2017,,,,,
860,Europe,Ireland,55 - 64,"5,043",2017,,,,,
861,Europe,Ireland,65 and Over,"2,925",2017,,,,,
862,Europe,Ireland,Total,"58,677",2018,,,,,
863,Europe,Ireland,Under 25,"11,415",2018,,,,,
864,Europe,Ireland,25 - 34,"20,569",2018,,,,,
865,Europe,Ireland,35 - 44,"9,707",2018,,,,,
866,Europe,Ireland,45 - 54,"7,228",2018,,,,,
867,Europe,Ireland,55 - 64,"5,957",2018,,,,,
868,Europe,Ireland,65 and Over,"3,801",2018,,,,,
869,Europe,Ireland,Total,"54,344",2019,,,,,
870,Europe,Ireland,Under 25,"10,976",2019,,,,,
871,Europe,Ireland,25 - 34,"17,390",2019,,,,,
872,Europe,Ireland,35 - 44,"8,893",2019,,,,,
873,Europe,Ireland,45 - 54,"7,428",2019,,,,,
874,Europe,Ireland,55 - 64,"5,834",2019,,,,,
875,Europe,Ireland,65 and Over,"3,823",2019,,,,,
876,Europe,Ireland,Total,"9,714",2020,,,,,
877,Europe,Ireland,Under 25,"1,016",2020,,,,,
878,Europe,Ireland,25 - 34,"3,173",2020,,,,,
879,Europe,Ireland,35 - 44,"1,784",2020,,,,,
880,Europe,Ireland,45 - 54,"1,335",2020,,,,,
881,Europe,Ireland,55 - 64,"1,346",2020,,,,,
882,Europe,Ireland,65 and Over,"1,060",2020,,,,,
883,Western Europe,Germany,Total,"746,135",2015,,,,,
884,Western Europe,Germany,Under 25,"95,690",2015,,,,,
885,Western Europe,Germany,25 - 34,"207,978",2015,,,,,
886,Western Europe,Germany,35 - 44,"137,933",2015,,,,,
887,Western Europe,Germany,45 - 54,"152,464",2015,,,,,
888,Western Europe,Germany,55 - 64,"100,249",2015,,,,,
889,Western Europe,Germany,65 and Over,"51,821",2015,,,,,
890,Western Europe,Germany,Total,"825,496",2016,,,,,
891,Western Europe,Germany,Under 25,"142,941",2016,,,,,
892,Western Europe,Germany,25 - 34,"237,845",2016,,,,,
893,Western Europe,Germany,35 - 44,"114,707",2016,,,,,
894,Western Europe,Germany,45 - 54,"153,814",2016,,,,,
895,Western Europe,Germany,55 - 64,"111,877",2016,,,,,
896,Western Europe,Germany,65 and Over,"64,312",2016,,,,,
897,Western Europe,Germany,Total,"837,318",2017,,,,,
898,Western Europe,Germany,Under 25,"141,008",2017,,,,,
899,Western Europe,Germany,25 - 34,"223,261",2017,,,,,
900,Western Europe,Germany,35 - 44,"118,285",2017,,,,,
901,Western Europe,Germany,45 - 54,"156,656",2017,,,,,
902,Western Europe,Germany,55 - 64,"126,296",2017,,,,,
903,Western Europe,Germany,65 and Over,"71,812",2017,,,,,
904,Western Europe,Germany,Total,"872,185",2018,,,,,
905,Western Europe,Germany,Under 25,"141,254",2018,,,,,
906,Western Europe,Germany,25 - 34,"222,933",2018,,,,,
907,Western Europe,Germany,35 - 44,"123,431",2018,,,,,
908,Western Europe,Germany,45 - 54,"162,242",2018,,,,,
909,Western Europe,Germany,55 - 64,"144,350",2018,,,,,
910,Western Europe,Germany,65 and Over,"77,975",2018,,,,,
911,Western Europe,Germany,Total,"836,926",2019,,,,,
912,Western Europe,Germany,Under 25,"136,490",2019,,,,,
913,Western Europe,Germany,25 - 34,"199,906",2019,,,,,
914,Western Europe,Germany,35 - 44,"126,061",2019,,,,,
915,Western Europe,Germany,45 - 54,"152,997",2019,,,,,
916,Western Europe,Germany,55 - 64,"141,299",2019,,,,,
917,Western Europe,Germany,65 and Over,"80,173",2019,,,,,
918,Western Europe,Germany,Total,"231,260",2020,,,,,
919,Western Europe,Germany,Under 25,"27,607",2020,,,,,
920,Western Europe,Germany,25 - 34,"53,209",2020,,,,,
921,Western Europe,Germany,35 - 44,"34,519",2020,,,,,
922,Western Europe,Germany,45 - 54,"38,176",2020,,,,,
923,Western Europe,Germany,55 - 64,"47,423",2020,,,,,
924,Western Europe,Germany,65 and Over,"30,326",2020,,,,,
925,Southern/Medit. Europe,Italy,Total,"231,429",2015,,,,,
926,Southern/Medit. Europe,Italy,Under 25,"26,784",2015,,,,,
927,Southern/Medit. Europe,Italy,25 - 34,"62,478",2015,,,,,
928,Southern/Medit. Europe,Italy,35 - 44,"56,628",2015,,,,,
929,Southern/Medit. Europe,Italy,45 - 54,"46,134",2015,,,,,
930,Southern/Medit. Europe,Italy,55 - 64,"26,308",2015,,,,,
931,Southern/Medit. Europe,Italy,65 and Over,"13,097",2015,,,,,
932,Southern/Medit. Europe,Italy,Total,"248,903",2016,,,,,
933,Southern/Medit. Europe,Italy,Under 25,"34,872",2016,,,,,
934,Southern/Medit. Europe,Italy,25 - 34,"78,095",2016,,,,,
935,Southern/Medit. Europe,Italy,35 - 44,"49,684",2016,,,,,
936,Southern/Medit. Europe,Italy,45 - 54,"39,739",2016,,,,,
937,Southern/Medit. Europe,Italy,55 - 64,"28,937",2016,,,,,
938,Southern/Medit. Europe,Italy,65 and Over,"17,576",2016,,,,,
939,Southern/Medit. Europe,Italy,Total,"244,982",2017,,,,,
940,Southern/Medit. Europe,Italy,Under 25,"29,171",2017,,,,,
941,Southern/Medit. Europe,Italy,25 - 34,"75,096",2017,,,,,
942,Southern/Medit. Europe,Italy,35 - 44,"51,257",2017,,,,,
943,Southern/Medit. Europe,Italy,45 - 54,"43,098",2017,,,,,
944,Southern/Medit. Europe,Italy,55 - 64,"28,453",2017,,,,,
945,Southern/Medit. Europe,Italy,65 and Over,"17,907",2017,,,,,
946,Southern/Medit. Europe,Italy,Total,"263,515",2018,,,,,
947,Southern/Medit. Europe,Italy,Under 25,"30,669",2018,,,,,
948,Southern/Medit. Europe,Italy,25 - 34,"78,837",2018,,,,,
949,Southern/Medit. Europe,Italy,35 - 44,"54,989",2018,,,,,
950,Southern/Medit. Europe,Italy,45 - 54,"48,110",2018,,,,,
951,Southern/Medit. Europe,Italy,55 - 64,"32,194",2018,,,,,
952,Southern/Medit. Europe,Italy,65 and Over,"18,716",2018,,,,,
953,Southern/Medit. Europe,Italy,Total,"250,870",2019,,,,,
954,Southern/Medit. Europe,Italy,Under 25,"30,891",2019,,,,,
955,Southern/Medit. Europe,Italy,25 - 34,"73,894",2019,,,,,
956,Southern/Medit. Europe,Italy,35 - 44,"51,696",2019,,,,,
957,Southern/Medit. Europe,Italy,45 - 54,"45,040",2019,,,,,
958,Southern/Medit. Europe,Italy,55 - 64,"30,155",2019,,,,,
959,Southern/Medit. Europe,Italy,65 and Over,"19,194",2019,,,,,
960,Southern/Medit. Europe,Italy,Total,"58,327",2020,,,,,
961,Southern/Medit. Europe,Italy,Under 25,"6,020",2020,,,,,
962,Southern/Medit. Europe,Italy,25 - 34,"13,502",2020,,,,,
963,Southern/Medit. Europe,Italy,35 - 44,"10,915",2020,,,,,
964,Southern/Medit. Europe,Italy,45 - 54,"11,299",2020,,,,,
965,Southern/Medit. Europe,Italy,55 - 64,"9,169",2020,,,,,
966,Southern/Medit. Europe,Italy,65 and Over,"7,422",2020,,,,,
967,Western Europe,Netherlands,Total,"214,945",2015,,,,,
968,Western Europe,Netherlands,Under 25,"34,141",2015,,,,,
969,Western Europe,Netherlands,25 - 34,"51,434",2015,,,,,
970,Western Europe,Netherlands,35 - 44,"34,604",2015,,,,,
971,Western Europe,Netherlands,45 - 54,"46,362",2015,,,,,
972,Western Europe,Netherlands,55 - 64,"33,330",2015,,,,,
973,Western Europe,Netherlands,65 and Over,"15,074",2015,,,,,
974,Western Europe,Netherlands,Total,"228,443",2016,,,,,
975,Western Europe,Netherlands,Under 25,"56,722",2016,,,,,
976,Western Europe,Netherlands,25 - 34,"58,088",2016,,,,,
977,Western Europe,Netherlands,35 - 44,"28,220",2016,,,,,
978,Western Europe,Netherlands,45 - 54,"36,899",2016,,,,,
979,Western Europe,Netherlands,55 - 64,"29,853",2016,,,,,
980,Western Europe,Netherlands,65 and Over,"18,661",2016,,,,,
981,Western Europe,Netherlands,Total,"215,433",2017,,,,,
982,Western Europe,Netherlands,Under 25,"47,739",2017,,,,,
983,Western Europe,Netherlands,25 - 34,"53,675",2017,,,,,
984,Western Europe,Netherlands,35 - 44,"27,506",2017,,,,,
985,Western Europe,Netherlands,45 - 54,"36,797",2017,,,,,
986,Western Europe,Netherlands,55 - 64,"31,176",2017,,,,,
987,Western Europe,Netherlands,65 and Over,"18,540",2017,,,,,
988,Western Europe,Netherlands,Total,"226,618",2018,,,,,
989,Western Europe,Netherlands,Under 25,"48,941",2018,,,,,
990,Western Europe,Netherlands,25 - 34,"54,112",2018,,,,,
991,Western Europe,Netherlands,35 - 44,"28,383",2018,,,,,
992,Western Europe,Netherlands,45 - 54,"39,476",2018,,,,,
993,Western Europe,Netherlands,55 - 64,"34,599",2018,,,,,
994,Western Europe,Netherlands,65 and Over,"21,107",2018,,,,,
995,Western Europe,Netherlands,Total,"230,006",2019,,,,,
996,Western Europe,Netherlands,Under 25,"53,796",2019,,,,,
997,Western Europe,Netherlands,25 - 34,"53,746",2019,,,,,
998,Western Europe,Netherlands,35 - 44,"29,704",2019,,,,,
999,Western Europe,Netherlands,45 - 54,"38,965",2019,,,,,
1000,Western Europe,Netherlands,55 - 64,"33,102",2019,,,,,
1001,Western Europe,Netherlands,65 and Over,"20,693",2019,,,,,
1002,Western Europe,Netherlands,Total,"50,441",2020,,,,,
1003,Western Europe,Netherlands,Under 25,"6,394",2020,,,,,
1004,Western Europe,Netherlands,25 - 34,"11,363",2020,,,,,
1005,Western Europe,Netherlands,35 - 44,"6,433",2020,,,,,
1006,Western Europe,Netherlands,45 - 54,"7,383",2020,,,,,
1007,Western Europe,Netherlands,55 - 64,"10,052",2020,,,,,
1008,Western Europe,Netherlands,65 and Over,"8,816",2020,,,,,
1009,Northern Europe,Norway,Total,"138,024",2015,,,,,
1010,Northern Europe,Norway,Under 25,"26,303",2015,,,,,
1011,Northern Europe,Norway,25 - 34,"25,605",2015,,,,,
1012,Northern Europe,Norway,35 - 44,"23,617",2015,,,,,
1013,Northern Europe,Norway,45 - 54,"28,128",2015,,,,,
1014,Northern Europe,Norway,55 - 64,"21,746",2015,,,,,
1015,Northern Europe,Norway,65 and Over,"12,625",2015,,,,,
1016,Northern Europe,Norway,Total,"134,335",2016,,,,,
1017,Northern Europe,Norway,Under 25,"32,647",2016,,,,,
1018,Northern Europe,Norway,25 - 34,"27,440",2016,,,,,
1019,Northern Europe,Norway,35 - 44,"17,661",2016,,,,,
1020,Northern Europe,Norway,45 - 54,"22,817",2016,,,,,
1021,Northern Europe,Norway,55 - 64,"18,684",2016,,,,,
1022,Northern Europe,Norway,65 and Over,"15,086",2016,,,,,
1023,Northern Europe,Norway,Total,"130,200",2017,,,,,
1024,Northern Europe,Norway,Under 25,"31,819",2017,,,,,
1025,Northern Europe,Norway,25 - 34,"23,752",2017,,,,,
1026,Northern Europe,Norway,35 - 44,"17,398",2017,,,,,
1027,Northern Europe,Norway,45 - 54,"23,513",2017,,,,,
1028,Northern Europe,Norway,55 - 64,"18,487",2017,,,,,
1029,Northern Europe,Norway,65 and Over,"15,231",2017,,,,,
1030,Northern Europe,Norway,Total,"133,020",2018,,,,,
1031,Northern Europe,Norway,Under 25,"28,835",2018,,,,,
1032,Northern Europe,Norway,25 - 34,"22,276",2018,,,,,
1033,Northern Europe,Norway,35 - 44,"17,348",2018,,,,,
1034,Northern Europe,Norway,45 - 54,"24,170",2018,,,,,
1035,Northern Europe,Norway,55 - 64,"21,892",2018,,,,,
1036,Northern Europe,Norway,65 and Over,"18,499",2018,,,,,
1037,Northern Europe,Norway,Total,"130,509",2019,,,,,
1038,Northern Europe,Norway,Under 25,"29,742",2019,,,,,
1039,Northern Europe,Norway,25 - 34,"20,890",2019,,,,,
1040,Northern Europe,Norway,35 - 44,"17,350",2019,,,,,
1041,Northern Europe,Norway,45 - 54,"23,291",2019,,,,,
1042,Northern Europe,Norway,55 - 64,"21,276",2019,,,,,
1043,Northern Europe,Norway,65 and Over,"17,960",2019,,,,,
1044,Northern Europe,Norway,Total,"39,082",2020,,,,,
1045,Northern Europe,Norway,Under 25,"7,347",2020,,,,,
1046,Northern Europe,Norway,25 - 34,"6,127",2020,,,,,
1047,Northern Europe,Norway,35 - 44,"4,552",2020,,,,,
1048,Northern Europe,Norway,45 - 54,"6,020",2020,,,,,
1049,Northern Europe,Norway,55 - 64,"6,849",2020,,,,,
1050,Northern Europe,Norway,65 and Over,"8,187",2020,,,,,
1051,Central/Eastern Europe,Russian,Total,"877,120",2015,,,,,
1052,Central/Eastern Europe,Russian,Under 25,"129,685",2015,,,,,
1053,Central/Eastern Europe,Russian,25 - 34,"267,261",2015,,,,,
1054,Central/Eastern Europe,Russian,35 - 44,"204,168",2015,,,,,
1055,Central/Eastern Europe,Russian,45 - 54,"166,328",2015,,,,,
1056,Central/Eastern Europe,Russian,55 - 64,"90,519",2015,,,,,
1057,Central/Eastern Europe,Russian,65 and Over,"19,159",2015,,,,,
1058,Central/Eastern Europe,Russian,Total,"1,085,890",2016,,,,,
1059,Central/Eastern Europe,Russian,Under 25,"176,247",2016,,,,,
1060,Central/Eastern Europe,Russian,25 - 34,"464,199",2016,,,,,
1061,Central/Eastern Europe,Russian,35 - 44,"204,290",2016,,,,,
1062,Central/Eastern Europe,Russian,45 - 54,"135,442",2016,,,,,
1063,Central/Eastern Europe,Russian,55 - 64,"80,268",2016,,,,,
1064,Central/Eastern Europe,Russian,65 and Over,"25,444",2016,,,,,
1065,Central/Eastern Europe,Russian,Total,"1,340,376",2017,,,,,
1066,Central/Eastern Europe,Russian,Under 25,"267,242",2017,,,,,
1067,Central/Eastern Europe,Russian,25 - 34,"441,498",2017,,,,,
1068,Central/Eastern Europe,Russian,35 - 44,"296,728",2017,,,,,
1069,Central/Eastern Europe,Russian,45 - 54,"183,254",2017,,,,,
1070,Central/Eastern Europe,Russian,55 - 64,"112,321",2017,,,,,
1071,Central/Eastern Europe,Russian,65 and Over,"39,333",2017,,,,,
1072,Central/Eastern Europe,Russian,Total,"1,466,457",2018,,,,,
1073,Central/Eastern Europe,Russian,Under 25,"279,921",2018,,,,,
1074,Central/Eastern Europe,Russian,25 - 34,"463,916",2018,,,,,
1075,Central/Eastern Europe,Russian,35 - 44,"333,064",2018,,,,,
1076,Central/Eastern Europe,Russian,45 - 54,"212,841",2018,,,,,
1077,Central/Eastern Europe,Russian,55 - 64,"129,995",2018,,,,,
1078,Central/Eastern Europe,Russian,65 and Over,"46,720",2018,,,,,
1079,Central/Eastern Europe,Russian,Total,"1,481,837",2019,,,,,
1080,Central/Eastern Europe,Russian,Under 25,"292,553",2019,,,,,
1081,Central/Eastern Europe,Russian,25 - 34,"425,900",2019,,,,,
1082,Central/Eastern Europe,Russian,35 - 44,"352,598",2019,,,,,
1083,Central/Eastern Europe,Russian,45 - 54,"224,005",2019,,,,,
1084,Central/Eastern Europe,Russian,55 - 64,"138,331",2019,,,,,
1085,Central/Eastern Europe,Russian,65 and Over,"48,450",2019,,,,,
1086,Central/Eastern Europe,Russian,Total,"586,381",2020,,,,,
1087,Central/Eastern Europe,Russian,Under 25,"119,059",2020,,,,,
1088,Central/Eastern Europe,Russian,25 - 34,"163,121",2020,,,,,
1089,Central/Eastern Europe,Russian,35 - 44,"142,001",2020,,,,,
1090,Central/Eastern Europe,Russian,45 - 54,"88,941",2020,,,,,
1091,Central/Eastern Europe,Russian,55 - 64,"54,043",2020,,,,,
1092,Central/Eastern Europe,Russian,65 and Over,"19,216",2020,,,,,
1093,Southern/Medit. Europe,Spain,Total,"147,380",2015,,,,,
1094,Southern/Medit. Europe,Spain,Under 25,"16,500",2015,,,,,
1095,Southern/Medit. Europe,Spain,25 - 34,"54,191",2015,,,,,
1096,Southern/Medit. Europe,Spain,35 - 44,"39,847",2015,,,,,
1097,Southern/Medit. Europe,Spain,45 - 54,"21,124",2015,,,,,
1098,Southern/Medit. Europe,Spain,55 - 64,"11,479",2015,,,,,
1099,Southern/Medit. Europe,Spain,65 and Over,"4,239",2015,,,,,
1100,Southern/Medit. Europe,Spain,Total,"168,264",2016,,,,,
1101,Southern/Medit. Europe,Spain,Under 25,"22,145",2016,,,,,
1102,Southern/Medit. Europe,Spain,25 - 34,"66,187",2016,,,,,
1103,Southern/Medit. Europe,Spain,35 - 44,"40,084",2016,,,,,
1104,Southern/Medit. Europe,Spain,45 - 54,"20,622",2016,,,,,
1105,Southern/Medit. Europe,Spain,55 - 64,"13,419",2016,,,,,
1106,Southern/Medit. Europe,Spain,65 and Over,"5,807",2016,,,,,
1107,Southern/Medit. Europe,Spain,Total,"178,954",2017,,,,,
1108,Southern/Medit. Europe,Spain,Under 25,"20,015",2017,,,,,
1109,Southern/Medit. Europe,Spain,25 - 34,"65,452",2017,,,,,
1110,Southern/Medit. Europe,Spain,35 - 44,"44,165",2017,,,,,
1111,Southern/Medit. Europe,Spain,45 - 54,"25,943",2017,,,,,
1112,Southern/Medit. Europe,Spain,55 - 64,"16,060",2017,,,,,
1113,Southern/Medit. Europe,Spain,65 and Over,"7,319",2017,,,,,
1114,Southern/Medit. Europe,Spain,Total,"176,597",2018,,,,,
1115,Southern/Medit. Europe,Spain,Under 25,"19,064",2018,,,,,
1116,Southern/Medit. Europe,Spain,25 - 34,"63,883",2018,,,,,
1117,Southern/Medit. Europe,Spain,35 - 44,"43,700",2018,,,,,
1118,Southern/Medit. Europe,Spain,45 - 54,"26,694",2018,,,,,
1119,Southern/Medit. Europe,Spain,55 - 64,"16,056",2018,,,,,
1120,Southern/Medit. Europe,Spain,65 and Over,"7,200",2018,,,,,
1121,Southern/Medit. Europe,Spain,Total,"186,969",2019,,,,,
1122,Southern/Medit. Europe,Spain,Under 25,"24,025",2019,,,,,
1123,Southern/Medit. Europe,Spain,25 - 34,"66,750",2019,,,,,
1124,Southern/Medit. Europe,Spain,35 - 44,"42,397",2019,,,,,
1125,Southern/Medit. Europe,Spain,45 - 54,"28,605",2019,,,,,
1126,Southern/Medit. Europe,Spain,55 - 64,"16,642",2019,,,,,
1127,Southern/Medit. Europe,Spain,65 and Over,"8,550",2019,,,,,
1128,Southern/Medit. Europe,Spain,Total,"26,499",2020,,,,,
1129,Southern/Medit. Europe,Spain,Under 25,"2,560",2020,,,,,
1130,Southern/Medit. Europe,Spain,25 - 34,"8,340",2020,,,,,
1131,Southern/Medit. Europe,Spain,35 - 44,"6,019",2020,,,,,
1132,Southern/Medit. Europe,Spain,45 - 54,"4,197",2020,,,,,
1133,Southern/Medit. Europe,Spain,55 - 64,"3,084",2020,,,,,
1134,Southern/Medit. Europe,Spain,65 and Over,"2,299",2020,,,,,
1135,Northern Europe,Sweden,Total,"317,792",2015,,,,,
1136,Northern Europe,Sweden,Under 25,"70,793",2015,,,,,
1137,Northern Europe,Sweden,25 - 34,"61,832",2015,,,,,
1138,Northern Europe,Sweden,35 - 44,"58,137",2015,,,,,
